term,frequency,associated_entries,entry_types
Macrophage,4,Ebola; (HLA) test; Leishmaniasis; Swollen glands,Diagnostic Test; Disease/Condition
Malignant,4,Gamma Knife surgery; Laryngeal cancer; Lung biopsy; Radical neck dissection,Diagnostic Test; Cancer/Oncological; Disease/Condition; Surgical Procedure
Metastasis,4,"Bone sarcoma; Ear, nose, and throat surgery; Neuroendocrine tumors; Soft tissue sarcoma",Cancer/Oncological; Surgical Procedure
Neuropathy,4,Bioelectric therapy; Diabetic foot infections; brain; Optic atrophy,Disease/Disorder; Drug/Medication; Disease/Condition
Off,4,"New York: Marlowe & Company, 2005.; Congestive heart failure; Macular degeneration; Monoclonal antibodies",Disease/Disorder; Disease/Condition
Osteomyelitis,4,Bedsores; Bone biopsy; Melioidosis; SAPHO syndrome,Diagnostic Test; Disease/Disorder; Disease/Condition
Pap test,4,Cervical conization; Colposcopy; Intrauterine device; Tumor removal,Cancer/Oncological; Disease/Condition; Surgical Procedure
Pathologist,4,Esophagogastroduodenoscopy; Qigong; Sigmoidoscopy; Thyroid biopsy,Diagnostic Test; Disease/Condition; Surgical Procedure
Placenta,4,http://www.aafp.org/online/en/home.html.; (hCG) pregnancy test; Placenta previa; Placental abruption,Diagnostic Test; Disease/Condition
Prostate,4,"New York: Marlowe & Company, 2005.; Peyronie’s disease; Prostate-specific antigen test; Prostate ultrasound",Diagnostic Test; Disease/Disorder; Disease/Condition
Pulp,4,teeth during sleep; Dental trauma; Dental x rays; Tooth decay,Disease/Condition
REVISED BY ROSALYN CARSON,4,Balloon valvuloplasty; Bronchoscopy can also be used to collect the following biopsy specimens:; Mammography; Vaginitis and vulvovaginitis,Diagnostic Test; Disease/Condition; Surgical Procedure
Scrotum,4,Hydrocelectomy; Penile prostheses; Testicular self-examination; Vasectomy,Diagnostic Test; Disease/Condition; Surgical Procedure
Self,4,Cold sores; Eating disorders; inhibitors; inhibitors,Disease/Disorder; Disease/Condition
Sepsis,4,Antibiotic resistance; Bedsores; Debridement; Prevention,Disease/Disorder; Disease/Condition
Serotonin,4,Binge eating disorder; disorder; Premenstrual syndrome; Seasonal affective disorder,Disease/Disorder
Sleep apnea,4,Deviated septum; Insomnia; rapidly the disease progresses.; adenoidectomy,Disease/Disorder; Disease/Condition; Surgical Procedure
Sputum,4,Aspergillosis; Chlamydial pneumonia; Cough; proteins.,Disease/Condition
Syndrome,4,Gulf War syndrome; Polydactyly and syndactyly; oligohydramnios; Stockholm syndrome,Disease/Disorder; Disease/Condition
