term,frequency,associated_entries,entry_types
Intoxication,1,dependence,Disease/Condition
Intra,1,Umbilical hernia repair,Disease/Condition
Intracellular parasite,1,Scrub typhus,Disease/Condition
Intracranial,1,Brain tumor,Cancer/Oncological
Intramuscularly,1,HPV vaccination,Disease/Condition
Intrathecal,1,"Therapy/lasers (accessed December 9, 2014).",Alternative Therapy
Intrathecal therapy,1,Lumbar puncture,Disease/Condition
Intraventricular hemorrhage,1,Neurosurgery,Surgical Procedure
Invasive,1,Thymoma,Disease/Condition
Invasive surgery,1,Statistics Reports. 2013. http://www.plasticsurgery.,Surgical Procedure
Ionizing radiation,1,Bone x rays,Disease/Condition
Iron poisoning,1,Iron tests,Diagnostic Test
Irritable bowel disease,1,Antigas agents,Disease/Condition
Islets of Langerhans,1,"Pancreatic cancer, endocrine",Cancer/Oncological
Isoenzyme,1,KEY TERMS,Disease/Condition
Isometric exercises,1,digestive tracts.,Disease/Condition
Isospora belli,1,Janis O. Flores,Disease/Condition
Isozyme,1,Pyruvate kinase deficiency,Disease/Disorder
Jarisch,1,Leptospirosis,Disease/Condition
Jejunostomy,1,Bacteremia,Disease/Condition
Joint contractures,1,Mucopolysaccharidoses,Disease/Condition
"K E Y TE R M S
Aneurysm",1,Barbiturate-induced coma,Disease/Condition
"KEY TERMS
Abdominal distension",1,Umbilical hernia repair,Disease/Condition
"KEY TERMS
Allograft",1,Face transplantation,Disease/Condition
"KEY TERMS
Antibodies",1,Monoclonal antibodies,Disease/Condition
"KEY TERMS
Antigen",1,Provenge (sipuleucel-T),Disease/Condition
"KEY TERMS
Bile",1,Chemistry screen,Disease/Condition
"KEY TERMS
Bipolar disorder",1,Seasonal affective disorder,Disease/Disorder
"KEY TERMS
Coenzyme",1,Antioxidants,Disease/Condition
"KEY TERMS
Colostomy",1,Bacteremia,Disease/Condition
"KEY TERMS
Disequilibrium",1,the computer and images are generated.,Disease/Condition
"KEY TERMS
Gadolinium",1,Tommy John surgery,Surgical Procedure
"KEY TERMS
Multiple sclerosis",1,Trigeminal neuralgia,Disease/Condition
"KEY TERMS
Podiatrist",1,Shin splints,Disease/Condition
"KEY TERMS
Radioisotope",1,Thyroid nuclear medicine scan,Diagnostic Test
"KEY TERMS
Ventricle",1,have to search elsewhere for a cause.,Disease/Disorder
KOH,1,KOH test,Diagnostic Test
Keloid,1,treat the transplant.,Disease/Condition
Keratin,1,Keratosis pilaris,Disease/Condition
Keratoderma blennorrhagica,1,Reiter’s syndrome,Disease/Disorder
Ketogenic diet,1,Low-carbohydrate diets,Nutrition/Diet
Ketone bodies,1,Dukan diet,Nutrition/Diet
Ketones,1,Low-carbohydrate diets,Nutrition/Diet
Ketosis,1,Low-carbohydrate diets,Nutrition/Diet
Kidney,1,Polycystic kidney disease,Disease/Disorder
Kleptomania,1,disorder,Disease/Disorder
Knowledge of the x,1,Dental x rays,Disease/Condition
Kock pouch,1,Enterostomy,Surgical Procedure
Kwashiorkor,1,Starvation,Disease/Condition
Kyphosis,1,Mucopolysaccharidoses,Disease/Condition
L a p a r o s c o p e,1,Ulcer surgery,Surgical Procedure
LDL Cholesterol,1,Atherosclerosis,Disease/Condition
LET,1,eventually cause blood poisoning.,Disease/Condition
Labia minora,1,Vulvodynia,Disease/Condition
Labyrinth,1,Labyrinthitis,Disease/Condition
Lactobacillus acidophilus,1,Strep throat,Disease/Condition
Landmark,1,Anatomy,Disease/Condition
Laparoscopic,1,Hysterectomy,Surgical Procedure
Laparoscopic cholecystectomy,1,General surgery,Surgical Procedure
Laparoscopic procedures,1,Statistics Reports. 2013. http://www.plasticsurgery.,Surgical Procedure
Large core needle biopsy,1,Breast biopsy,Diagnostic Test
Large intestine,1,Pediatric surgery,Surgical Procedure
Laryngitis,1,Vocal cord nodules and polyps,Disease/Condition
Laryngoscope,1,Vocal cord paralysis,Disease/Condition
Laryngospasm,1,Antihypertensive drugs,Drug/Medication
Lasers can be attached to fiber,1,Photodynamic therapy,Drug/Medication
Latent virus,1,Genital herpes,Disease/Condition
Laxative,1,Dehydration,Disease/Condition
Legionellosis,1,Legionnaires’ disease,Disease/Disorder
Leishman,1,Leishmaniasis,Disease/Condition
Lethargy,1,Statistics Reports. 2013. http://www.plasticsurgery.org/,Surgical Procedure
Leukemia stains,1,Leukemia stains,Cancer/Oncological
Leukopenia,1,Heartland virus,Disease/Condition
Leukotrienes,1,Leukotriene inhibitors are often called leukotriene:,Disease/Disorder
Liebmann,1,Hypospadias and epispadias,Disease/Disorder
Limbic system,1,Anxiety,Disease/Condition
Linoleic acid,1,Infant massage,Alternative Therapy
Liquid,1,Cytology,Disease/Condition
Lithium,1,Lactation,Disease/Condition
Liver,1,Drug metabolism/interactions,Drug/Medication
Lodestone,1,Magnetic field therapy,Alternative Therapy
Lower,1,Lymphocyte typing,Disease/Condition
Lumbar puncture,1,Rabies,Disease/Condition
Lumbar vertebrae,1,"York: Springer, 2012.",Disease/Condition
Lumbosacral,1,Sciatica,Disease/Disorder
Lumen,1,Appendicitis,Disease/Condition
Lung function tests,1,Fibrosis,Disease/Condition
Lupus,1,Knee injuries,Disease/Condition
Lupus erythematosus,1,"(accessed August 15, 2013).",Disease/Condition
Lutropin,1,Luteinizing hormone test,Diagnostic Test
Luxate,1,Tooth extraction,Disease/Condition
Lyme disease,1,Knee injuries,Disease/Condition
"Lymphedema


K E Y TE R M S
Axillary nodes",1,Lymphedema,Disease/Condition
Lymphocytosis,1,Lymphocyte typing,Disease/Condition
Lymphoid,1,Chest x ray,Disease/Condition
Lymphopenia,1,Lymphocyte typing,Disease/Condition
Lysosome,1,Mucopolysaccharidoses,Disease/Condition
Lyssavirus,1,Rabies,Disease/Condition
M-health,1,Telehealth,Disease/Condition
MAbs all end in the suffix,1,Monoclonal antibodies,Disease/Condition
MAbs are considered experimental or off,1,Monoclonal antibodies,Disease/Condition
MCH,1,"general, unrelated to AIDS.",Disease/Condition
MRI to create a three,1,Brain biopsy,Diagnostic Test
Macrobiotic diet,1,Anti cancer diet,Cancer/Oncological
Macrocytic,1,Red blood cell indices,Disease/Condition
Macropods,1,Ross River Virus,Disease/Condition
Macula,1,Macular degeneration,Disease/Condition
Maculopapular rash,1,Scrub typhus,Disease/Condition
Major tranquilizers,1,Autism,Disease/Condition
Malabsorption of fats and fat,1,Alagille syndrome,Disease/Disorder
Malaria,1,Epstein-Barr virus,Disease/Condition
Malignant hyperthermia,1,Fever,Disease/Condition
Malignant melanoma,1,Moles,Disease/Condition
Malingering,1,Factitious disorders,Disease/Disorder
Malnutrition,1,Adolescent nutrition,Nutrition/Diet
Malocclusion,1,Dental trauma,Disease/Condition
Mammogram,1,Tumor removal,Cancer/Oncological
Management of Organ,1,Kidney cancer,Cancer/Oncological
Mania,1,Electroconvulsive therapy,Alternative Therapy
Manometer,1,Lumbar puncture,Disease/Condition
Mantoux test,1,Tuberculosis,Disease/Condition
Mantra,1,Meditation,Disease/Condition
Marasmus,1,Starvation,Disease/Condition
Marfan syndrome,1,"York: Springer, 2012.",Disease/Condition
Marijuana use is commonly looked for in pre,1,Marijuana,Disease/Condition
Marshall,1,procedure,Disease/Condition
Masseter spasm,1,Malaria,Disease/Condition
Mastitis While Breast,1,Mastitis,Disease/Condition
Maxilla,1,Maxillofacial trauma,Disease/Condition
Mechanical valve,1,Aortic valve replacement,Disease/Condition
Meconium,1,Breech birth,Disease/Condition
Media,1,Legionnaires’ disease,Disease/Disorder
Mediastinoscopy,1,Lung biopsy,Diagnostic Test
Mediastinum,1,Lung biopsy,Diagnostic Test
Medical telemetry,1,Space medicine,Disease/Condition
Medical tourism,1,Concierge medicine,Disease/Condition
Medionecrosis,1,Aortic aneurysm repair,Disease/Condition
Mediterranean diet,1,DASH diet,Nutrition/Diet
Megacolon,1,Barium enema,Disease/Condition
Megadose,1,Vitamin toxicity,Nutrition/Diet
Megaloblast,1,Anemias,Disease/Condition
Melanin,1,Moles,Disease/Condition
Menadione,1,Vitamin toxicity,Nutrition/Diet
Menarche,1,Puberty,Disease/Condition
Menorrhagia,1,Dysmenorrhea,Disease/Condition
Meridian,1,Learning .),Disease/Condition
Mesenteric adenitis,1,"REVISED BY TISH DAVIDSON, AM",Disease/Condition
Metabolic,1,Heartburn,Disease/Condition
Metabolic pathway,1,Galactosemia,Disease/Condition
Metabolic syndrome,1,Appetite suppressant drugs,Drug/Medication
Metabolites,1,Drug metabolism/interactions,Drug/Medication
"Methadone


K E Y TE R M S
Analgesic",1,Methadone,Disease/Condition
Methemoglobin,1,the kidney to produce more urine) to decrease swelling.,Disease/Condition
Methicillin,1,Antibiotic resistance,Disease/Condition
Methylene blue,1,Reticulocyte count,Disease/Condition
Microbiota,1,Fecal transplant,Disease/Condition
Microcephaly,1,http://www.aafp.org/online/en/home.html.,Disease/Condition
Microcytic,1,Red blood cell indices,Disease/Condition
Microflora,1,Gastroenteritis,Disease/Condition
Microgravity,1,Space medicine,Disease/Condition
Micronutrients,1,Hunger and undernutrition,Nutrition/Diet
Microorganism,1,Microbiome,Disease/Condition
Microorganisms,1,Animal bite infections,Disease/Disorder
Microsporida,1,Janis O. Flores,Disease/Condition
Microsurgery,1,General surgery,Surgical Procedure
Migraine neuralgia,1,Neuralgia,Disease/Condition
Miliary tuberculosis,1,Tuberculosis,Disease/Condition
Milk,1,Drug metabolism/interactions,Drug/Medication
Mineralization,1,Rickets,Disease/Condition
Minimum erythema dose,1,Ultraviolet light treatment,Drug/Medication
Minimum phototoxic dose,1,Ultraviolet light treatment,Drug/Medication
Miracidium,1,Schistosomiasis,Disease/Condition
Miscarriage,1,http://www.aafp.org/online/en/home.html.,Disease/Condition
Miso,1,Probiotics,Disease/Condition
Mite,1,Scabies,Disease/Condition
Mitochondia,1,Optic atrophy,Disease/Disorder
Mitral stenosis,1,Pulmonary edema,Disease/Condition
Mitral valve prolapse,1,Fragile X syndrome,Disease/Disorder
Molars,1,Teething,Disease/Condition
Molecular,1,Translational medicine,Disease/Condition
Monoclonal,1,Monoclonal antibodies,Disease/Condition
Monogamy,1,Safe sex,Disease/Condition
Mononuclosis,1,Roseola,Disease/Condition
Monounsaturated fat,1,acids,Disease/Condition
Mons pubis,1,Vulvodynia,Disease/Condition
Morbidity,1,Multiple pregnancy,Disease/Condition
"Morbidity and mortality rates
Post",1,Liver biopsy,Diagnostic Test
Morbidly obese,1,Gastric bypass,Disease/Condition
Morcellation,1,Nephrectomy,Surgical Procedure
"Morning after pill see Mifepristone

Mosquito",1,Mood disorders,Disease/Disorder
Moro reflex,1,Neurological exam,Disease/Condition
Morphine,1,Methadone,Disease/Condition
Mortality,1,Multiple pregnancy,Disease/Condition
Mosaic,1,Turner syndrome,Disease/Disorder
Mosquito,1,Mood disorders,Disease/Disorder
Most concerns have focused on silicone gel,1,Breast implants,Disease/Disorder
Motor neurons,1,Electromyography,Disease/Condition
Motor unit action potentials,1,Electromyography,Disease/Condition
Mousse oil,1,Oil spills: health effects,Disease/Condition
Mucopolysaccharide,1,Mucopolysaccharidoses,Disease/Condition
Mucous,1,Antiulcer drugs,Drug/Medication
Mucous membrane,1,Latex allergy,Disease/Condition
Mucous membranes,1,eventually cause blood poisoning.,Disease/Condition
Multi,1,Dementia,Disease/Condition
Multidrug,1,Antibiotic resistance,Disease/Condition
Multiple myeloma,1,Bence Jones protein test,Diagnostic Test
Multitasking,1,Myers-Briggs type indicator,Disease/Condition
Munchausen by proxy,1,Factitious disorders,Disease/Disorder
Munchausen syndrome,1,Factitious disorders,Disease/Disorder
Murmur,1,2013).,Disease/Condition
Muscular dystrophy,1,rapidly the disease progresses.,Disease/Disorder
Myalgia,1,Ross River Virus,Disease/Condition
Mycobacteria,1,Tuberculosis,Disease/Condition
Mycoplasma pneumonia,1,Erysipelas,Disease/Condition
Myelogram,1,Transverse myelitis,Disease/Condition
Myeloproliferative disorder,1,Polycythemia vera,Disease/Condition
Myelosuppressive therapy,1,Polycythemia vera,Disease/Condition
Myocarditis,1,Diphtheria,Disease/Condition
Myocardium,1,computed tomography,Disease/Condition
Myonecrosis,1,Prevention,Disease/Disorder
Myopathy,1,Dermatomyositis,Disease/Condition
Myxedema,1,Thyroid function tests,Diagnostic Test
NSAID,1,"Leukemias, chronic",Cancer/Oncological
Naltrexone,1,Alcoholism,Disease/Condition
Narcissistic,1,Gambling disorder,Disease/Disorder
Narcolepsy,1,Diseases/SleepApnea/SleepApnea_WhatIs.html.,Disease/Disorder
Nasal polyps,1,Anosmia,Disease/Condition
Nasal septum,1,Maxillofacial trauma,Disease/Condition
Nasogastric,1,Candidiasis,Disease/Condition
Nasopharyngeal,1,Epstein-Barr virus,Disease/Condition
Nasopharyngoscopy,1,Velopharyngeal insufficiency,Disease/Condition
Nearsightedness,1,Statistics Reports. 2013. http://www.plasticsurgery.,Surgical Procedure
Necrotic,1,Debridement,Disease/Condition
Neoadjuvant therapy,1,Thymoma,Disease/Condition
Neobladder,1,Ileal conduit surgery,Surgical Procedure
Neoplasia,1,Pap test,Diagnostic Test
Neoplasm,1,Parathyroid scan,Diagnostic Test
Nephron,1,the kidney to produce more urine) to decrease swelling.,Disease/Condition
Nephrotoxin,1,the kidney to produce more urine) to decrease swelling.,Disease/Condition
Nerve conduction velocity test,1,Paralysis,Disease/Condition
Neuralgia,1,brain,Disease/Condition
Neurasthenia,1,Multiple chemical sensitivity,Disease/Condition
Neuritis,1,Optic atrophy,Disease/Disorder
Neurocysticercosis,1,Tapeworm diseases,Disease/Disorder
Neurofibroma,1,Neurofibromatosis,Disease/Condition
Neurofibromatosis,1,"York: Springer, 2012.",Disease/Condition
Neuromuscular,1,Feldenkrais method,Disease/Condition
Neuropsychological testing,1,Minimally invasive surgery,Surgical Procedure
Neuropsychologist,1,the computer and images are generated.,Disease/Condition
Neurosurgery,1,Robot-assisted surgery,Surgical Procedure
Neurotic,1,"Times (October 22, 2001): A1.",Disease/Condition
Neurotransmission,1,Sensory integration disorder,Disease/Disorder
Nicotine,1,Smoking cessation drugs,Drug/Medication
Night guard,1,Bruxism,Disease/Condition
Ninety,1,AIDS,Disease/Condition
Nitrous oxide,1,Tooth extraction,Disease/Condition
No side effects have been reported for over,1,Electrolyte supplements,Nutrition/Diet
Nocturia,1,Obstructive sleep apnea,Disease/Condition
Nodular goiter,1,Thyroid function tests,Diagnostic Test
Noninvasive,1,Technetium heart scan,Diagnostic Test
Nonproliferative retinopathy,1,Retinopathies,Disease/Condition
Normal flora,1,Wound culture,Disease/Condition
Normal weight obesity,1,Body mass index,Disease/Condition
Normochromic,1,Red blood cell indices,Disease/Condition
Normocytic,1,Red blood cell indices,Disease/Condition
Nosocomial,1,Nipah,Disease/Condition
Novo,1,"New York: Marlowe & Company, 2005.",Disease/Condition
Nuchal cord,1,Breech birth,Disease/Condition
Nuchal cysts,1,Turner syndrome,Disease/Disorder
Nuclear family,1,Family therapy,Alternative Therapy
Nuclear medicine,1,computed tomography,Disease/Condition
Nucleotide,1,rapidly the disease progresses.,Disease/Disorder
Nucleus accumbens,1,Gambling disorder,Disease/Disorder
Nulliparity,1,LGBT health,Disease/Condition
Numbness,1,eventually cause blood poisoning.,Disease/Condition
"Nutrition and dietary concerns

Hiatal hernia",1,Heartburn,Disease/Condition
"ORGANIZATIONS

American Academy of Otolaryngology",1,Mastoiditis,Disease/Condition
"ORGANIZATIONS

American Society of Health",1,Heavy metal poisoning,Disease/Condition
"ORGANIZATIONS

Amnesia",1,dermatophytes or yeast under the microscope. The KOH,Disease/Condition
"ORGANIZATIONS

KEY TERMS
Mammogram",1,Qigong,Disease/Condition
"ORGANIZATIONS

Multiple sclerosis",1,Optic neuritis,Disease/Condition
Obesity,1,Men’s health,Disease/Condition
"Obesity
Non",1,Nocardiosis,Disease/Condition
Obesity paradox,1,Obesity and surgery,Surgical Procedure
Obstruction,1,Intussusception,Disease/Condition
Obstructive sleep apnea,1,Obesity and surgery,Surgical Procedure
Occipital neuralgia,1,Neuralgia,Disease/Condition
Occlusion therapy,1,Amblyopia,Disease/Condition
Occult,1,Fecal occult blood test,Diagnostic Test
Ochronosis,1,Pseudogout,Disease/Condition
Ocular neovascularization,1,Antiangiogenic therapy,Drug/Medication
Ointment,1,"Antifungal drugs, topical",Drug/Medication
Ombudsman,1,Discharge from the hospital,Disease/Condition
Oncologist,1,Tumor removal,Cancer/Oncological
Oncotic pressure,1,Third-spacing,Disease/Condition
Oocyst,1,Toxoplasmosis,Disease/Condition
Open surgery,1,Arthroscopic surgery,Surgical Procedure
Ophthalmia,1,Trachoma,Disease/Condition
Ophthalmic,1,"Antifungal drugs, topical",Drug/Medication
Opiate blockers,1,Autism,Disease/Condition
Opiates,1,Withdrawal syndromes,Disease/Disorder
Opioid,1,Risks,Disease/Condition
Opioid antagonist,1,Gambling disorder,Disease/Disorder
Opportunistic,1,Candidiasis,Disease/Condition
Oppositional defiant disorder,1,Mutism,Disease/Condition
Optic atrophy,1,Nystagmus,Disease/Condition
Oral and maxillofacial surgeon,1,Jaw wiring,Disease/Condition
Oral surgeon,1,Tooth extraction,Disease/Condition
Orchiectomy,1,Testicular surgery,Diagnostic Test
Orchiopexy,1,Testicular surgery,Diagnostic Test
Organ procurement,1,Transplant surgery,Surgical Procedure
Organic brain disorder,1,Mental status examination,Disease/Condition
Orgasm,1,Female orgasmic disorder,Disease/Disorder
Originating site,1,Telehealth,Disease/Condition
"Origins

Endoscope",1,Fasciotomy,Surgical Procedure
Orphan disease,1,SAPHO syndrome,Disease/Disorder
Orthodontic treatment,1,Tooth extraction,Disease/Condition
Orthopedic,1,Kyphosis,Disease/Condition
Orthopedic surgery,1,Robot-assisted surgery,Surgical Procedure
Orthopnea,1,Shortness of breath,Disease/Condition
Orthosis,1,Congenital hip dysplasia,Disease/Disorder
Orthotic,1,Bunion,Disease/Condition
Orthotist,1,Rehabilitation,Disease/Condition
Osmolality,1,Diabetes insipidus,Disease/Condition
Osmosis,1,Third-spacing,Disease/Condition
Osmotic pressure,1,damage a part of the lung so that it leaks fluid.,Disease/Condition
Osteitis,1,SAPHO syndrome,Disease/Disorder
Osteoarticular,1,SAPHO syndrome,Disease/Disorder
Other nuclear medicine scans and x,1,Thyroid nuclear medicine scan,Diagnostic Test
Otic,1,"Antifungal drugs, topical",Drug/Medication
Otitis media,1,Labyrinthitis,Disease/Condition
Otorhinolaryngologist,1,Vocal cord nodules and polyps,Disease/Condition
Otosclerosis,1,Hearing loss,Disease/Condition
Ototoxic,1,Tinnitus,Disease/Condition
Ova,1,Janis O. Flores,Disease/Condition
Oval window,1,Hearing aids,Disease/Condition
Ovarian torsion,1,Transvaginal ultrasound,Diagnostic Test
Ovary,1,Dysmenorrhea,Disease/Condition
"Overactive bladder


that occurs during surgery",1,Overactive bladder,Disease/Condition
Oxalate,1,Vulvodynia,Disease/Condition
Oxidation,1,Antioxidants,Disease/Condition
Oxygen free radicals,1,Insecticide poisoning,Disease/Condition
PCI,1,"Lung cancer, small cell",Cancer/Oncological
PDT is a two,1,Photodynamic therapy,Drug/Medication
PMS,1,"New York: Marlowe & Company, 2005.",Disease/Condition
PSP it is a grimace and wide,1,Progressive supranuclear palsy,Disease/Condition
PTLD are some of the long,1,Liver transplantation,Disease/Condition
PUVA,1,Lichen planus,Disease/Condition
PUVA treatments,1,Ultraviolet light treatment,Drug/Medication
Pacemaker,1,Catheter ablation,Disease/Condition
Pagophagia,1,Pica,Disease/Condition
Palpate,1,Shiatsu,Disease/Condition
Pancarditis,1,Rheumatic fever,Disease/Condition
Pandemic,1,H1N1 influenza A,Disease/Condition
Panic disorder,1,Antianxiety drugs,Drug/Medication
Papules,1,Smallpox,Disease/Condition
Paracentesis,1,Ascites,Disease/Condition
Paraneoplastic syndrome,1,Thymoma,Disease/Condition
Paraphilia,1,Sexual addiction,Disease/Condition
Parathyroid gland,1,Chemistry screen,Disease/Condition
Parenteral,1,Parenteral nutrition,Nutrition/Diet
Parenteral nutrition,1,Anti cancer diet,Cancer/Oncological
Parietal cells,1,Vagotomy,Surgical Procedure
Paroxysm,1,Pheochromocytoma,Disease/Condition
Passive immunization,1,Rabies,Disease/Condition
Pasteurellosis,1,Animal bite infections,Disease/Disorder
Pasteurization,1,Microbiology,Disease/Condition
Pathogenic bacteria,1,Gastroenteritis,Disease/Condition
Pathological,1,Gambling disorder,Disease/Disorder
Patients undergoing a small bowel follow,1,Upper GI exam,Disease/Condition
Patients who have developed second,1,Lymphogranuloma venereum,Disease/Condition
Patients with long,1,treat the transplant.,Disease/Condition
Paula Anne Ford,1,Wechsler intelligence test,Diagnostic Test
Paula Ford,1,Electrocardiography,Disease/Condition
Peak flow measurement,1,Emphysema,Disease/Condition
Pedophilia,1,Sexual abuse,Disease/Condition
Pellegra,1,Hartnup disease,Disease/Disorder
Pelvic organs,1,Appendectomy,Surgical Procedure
Penicillin,1,Statistics Reports. 2013. http://www.plasticsurgery.org/,Surgical Procedure
Penicillins,1,Antibiotic resistance,Disease/Condition
"Penile prostheses


Fluid",1,Penile prostheses,Disease/Condition
People considering taking vitamin K,1,Vitamin K,Nutrition/Diet
Peptic ulcers,1,esophagus and stomach,Disease/Disorder
Perforation,1,Peritonitis,Disease/Condition
Perfusion,1,Thallium heart scan,Diagnostic Test
Perfusion lung scan,1,Pulmonary hypertension,Disease/Condition
Periapical,1,Dental x rays,Disease/Condition
Pericardial effusion,1,"Therapy/lasers (accessed December 9, 2014).",Alternative Therapy
Pericoronitis,1,Impacted tooth,Disease/Condition
Perinatologist,1,High-risk pregnancy,Disease/Condition
Perineal area,1,Urinary catheterization,Disease/Condition
Peripheral nerves,1,Amyloidosis,Disease/Disorder
Peripheral neuropathy,1,Cancer survivorship issues,Cancer/Oncological
Peripheral precocious puberty,1,Precocious puberty,Disease/Condition
Peripheral vascular disease,1,Antiangiogenic therapy,Drug/Medication
Peritoneal fluid,1,Hydrocelectomy,Surgical Procedure
Permethrin,1,Chikungunya,Disease/Condition
Peroxide,1,Teeth whitening,Disease/Condition
Perpetrator,1,normal flora.,Disease/Condition
Persons with impaired immunocompetence,1,Animal bite infections,Disease/Disorder
Petechiae,1,Dengue fever,Disease/Condition
Petting,1,Animal bite infections,Disease/Disorder
Phagocytosis,1,Legionnaires’ disease,Disease/Disorder
Phase contrast microscope,1,Platelet count,Disease/Condition
Pheochromocytoma,1,Adrenalectomy,Surgical Procedure
Phimosis,1,Circumcision,Disease/Disorder
Phlebotomy,1,Hemochromatosis,Disease/Disorder
Phlebovirus,1,Heartland virus,Disease/Condition
Phlegm,1,Isolation,Disease/Condition
Phonics,1,Learning disorders,Disease/Disorder
Phoropter,1,Visual impairment,Disease/Disorder
Phosphodiesterase,1,Erectile dysfunction treatment,Drug/Medication
Photopigment,1,Color blindness,Disease/Condition
Photoreceptors,1,Macular degeneration,Disease/Condition
Photosensitizer,1,Photodynamic therapy,Drug/Medication
Phototherapy,1,Seasonal affective disorder,Disease/Disorder
Physiatrist,1,Rehabilitation,Disease/Condition
Physical manipulation,1,Naturopathic medicine,Disease/Condition
Phyto,1,"Herbalism, Western",Disease/Condition
Phytoestrogens,1,Premenstrual syndrome,Disease/Disorder
Pia mater,1,Meningitis,Disease/Condition
Pilocarpine,1,Sweat test,Diagnostic Test
Piriformis,1,Sciatica,Disease/Disorder
Pitting edema,1,causes edema in tissue spaces.,Disease/Condition
Pituitary,1,Puberty,Disease/Condition
"Pituitary adenoma see Pituitary tumors

Lesion",1,Pinta,Disease/Condition
Plastination,1,Anatomy,Disease/Condition
Platelets,1,Blood donation and registry,Disease/Condition
Pleura or pleurae,1,Pleural effusion,Disease/Condition
Pleural effusion,1,Third-spacing,Disease/Condition
Pleural space,1,Pleural effusion,Disease/Condition
Pneumococcal pneumonia,1,Pneumonia vaccine,Disease/Condition
Pneumococcus,1,Pneumonia vaccine,Disease/Condition
Pneumocystis carinii pneumonia,1,Sulfonamides,Disease/Condition
Pneumonitis,1,"Therapy/lasers (accessed December 9, 2014).",Alternative Therapy
Pneumoperitoneum,1,Nephrectomy,Surgical Procedure
Podiatry,1,Bunion,Disease/Condition
Polyarthritis,1,Ross River Virus,Disease/Condition
Polycystic kidney disease,1,Nephrectomy,Surgical Procedure
Polydipsia,1,Fanconi’s syndrome,Disease/Disorder
Polydrug,1,Antibiotic resistance,Disease/Condition
Polyposis,1,Nasal polyps,Disease/Condition
Polysomnography,1,Obstructive sleep apnea,Disease/Condition
Polyuria,1,Fanconi’s syndrome,Disease/Disorder
Pornography,1,Sexual abuse,Disease/Condition
Portable chest x ray,1,Chest x ray,Disease/Condition
Portal,1,General surgery,Surgical Procedure
Portal vein,1,Porphyrias,Disease/Condition
Postherpetic neuralgia,1,Neuralgia,Disease/Condition
Potentize,1,Flower remedies,Disease/Condition
Pox,1,Smallpox,Disease/Condition
Prader,1,Eating disorders,Disease/Disorder
Prana,1,Hatha yoga,Disease/Condition
"Precautions

Biopsy",1,Tumor markers,Cancer/Oncological
"Precautions

Cardiopulmonary",1,resuscitation,Disease/Condition
"Precautions

Nanometer",1,Photodynamic therapy,Drug/Medication
"Precautions
Anyone who uses opioid analgesics",1,"Analgesics, opioid",Disease/Condition
"Precautions
People who take blood",1,Vitamin K,Nutrition/Diet
Precocious,1,Precocious puberty,Disease/Condition
Preconceptional,1,High-risk pregnancy,Disease/Condition
Prednisone,1,Adrenal gland scan,Diagnostic Test
"Pregnant or breastfeeding

Angiogenesis",1,Antiangiogenic therapy,Drug/Medication
"Pregnant or breastfeeding

Long",1,Anti hyperuricemic drugs,Drug/Medication
Premature atrial beat,1,Paroxysmal atrial tachycardia,Disease/Condition
Premutation,1,Fragile X syndrome,Disease/Disorder
"Preparation
Patients taking insulin or blood",1,Bioelectric therapy,Drug/Medication
Presentation,1,Breech birth,Disease/Condition
Pressure points,1,Reflexology,Disease/Condition
Pressure ulcer,1,Debridement,Disease/Condition
Prevalence,1,Minority health,Disease/Condition
Probenecid,1,Gout,Disease/Condition
Probiotics,1,Gastroenteritis,Disease/Condition
"Probiotics


KEY TERMS
Biopsy",1,Primary biliary cirrhosis,Disease/Condition
Procaine penicillin,1,Statistics Reports. 2013. http://www.plasticsurgery.org/,Surgical Procedure
"Procedures
Ultrasound or x",1,Peyronie’s disease,Disease/Disorder
Processus vaginalis,1,Hydrocelectomy,Surgical Procedure
Proctitis,1,Lymphogranuloma venereum,Disease/Condition
Proctoscopy,1,Proctitis,Disease/Condition
Proctosigmoidoscopy,1,Barium enema,Disease/Condition
Progesterone,1,Premenstrual syndrome,Disease/Disorder
Progestin,1,Anabolic steroid use,Disease/Condition
Progressive,1,Emphysema,Disease/Condition
Prohormones,1,Anabolic steroid use,Disease/Condition
Prolactin,1,Breastfeeding problems,Disease/Disorder
Prolapsed umbilical cord,1,Breech birth,Disease/Condition
Prolapsed uterus,1,Hysterectomy,Surgical Procedure
Proliferative retinopathy,1,Retinopathies,Disease/Condition
Propensity,1,Minority health,Disease/Condition
Prophylactic dosage,1,Scrub typhus,Disease/Condition
Propionibacterium acnes,1,Acne,Disease/Condition
Proprioceptive,1,Sensory integration disorder,Disease/Disorder
Prosection,1,Anatomy,Disease/Condition
Prostatectomy,1,Robot-assisted surgery,Surgical Procedure
Prosthetics,1,Osteopathy,Disease/Condition
Prosthetist,1,Rehabilitation,Disease/Condition
Protoporphyrin IX,1,Iron deficiency anemia,Disease/Disorder
Protozoan,1,Toxoplasmosis,Disease/Condition
Pruritus,1,Scabies,Disease/Condition
Psoralen,1,Ultraviolet light treatment,Drug/Medication
Psoriasis,1,Psoriatic arthritis,Disease/Condition
Psoriatic arthritis mutilans,1,Psoriatic arthritis,Disease/Condition
Psychiatrist,1,Hysteria,Disease/Condition
Psychoactive,1,"and the faster the treatment, the better the prognosis.",Drug/Medication
Psychoactive drug,1,(Spice),Disease/Condition
