node_id,node_type,label,definition,body_systems,severity,age_groups,icd_category,is_contagious,inheritance
S01487,Symptom,Paralysis,Clinical manifestation: paralysis,,,,R-codes,,
S01488,Symptom,Depression,Clinical manifestation: depression,,,,R-codes,,
S01489,Symptom,Anxiety,Clinical manifestation: anxiety,,,,R-codes,,
S01490,Symptom,Confusion,Clinical manifestation: confusion,,,,R-codes,,
S01491,Symptom,Memory Loss,Clinical manifestation: memory loss,,,,R-codes,,
S01492,Symptom,Weight Loss,Clinical manifestation: weight loss,,,,R-codes,,
S01493,Symptom,Weight Gain,Clinical manifestation: weight gain,,,,R-codes,,
S01494,Symptom,Jaundice,Clinical manifestation: jaundice,,,,R-codes,,
S01495,Symptom,Edema,Clinical manifestation: edema,,,,R-codes,,
S01496,Symptom,Anemia,Clinical manifestation: anemia,,,,R-codes,,
S01497,Symptom,Pallor,Clinical manifestation: pallor,,,,R-codes,,
S01498,Symptom,Cyanosis,Clinical manifestation: cyanosis,,,,R-codes,,
S01499,Symptom,Dyspnea,Clinical manifestation: dyspnea,,,,R-codes,,
S01500,Symptom,Tachycardia,Clinical manifestation: tachycardia,,,,R-codes,,
S01501,Symptom,Hypertension,Clinical manifestation: hypertension,,,,R-codes,,
S01502,Symptom,Hypotension,Clinical manifestation: hypotension,,,,R-codes,,
S01503,Symptom,Insomnia,Clinical manifestation: insomnia,,,,R-codes,,
S01504,Symptom,Loss Of Appetite,Clinical manifestation: loss of appetite,,,,R-codes,,
S01505,Symptom,Constipation,Clinical manifestation: constipation,,,,R-codes,,
S01506,Symptom,Urinary Frequency,Clinical manifestation: urinary frequency,,,,R-codes,,
S01507,Symptom,Hematuria,Clinical manifestation: hematuria,,,,R-codes,,
S01508,Symptom,Alopecia,Clinical manifestation: alopecia,,,,R-codes,,
S01509,Symptom,Pruritus,Clinical manifestation: pruritus,,,,R-codes,,
S01510,Symptom,Erythema,Clinical manifestation: erythema,,,,R-codes,,
S01511,Symptom,Blurred Vision,Clinical manifestation: blurred vision,,,,R-codes,,
S01512,Symptom,Hearing Loss,Clinical manifestation: hearing loss,,,,R-codes,,
S01513,Symptom,Tinnitus,Clinical manifestation: tinnitus,,,,R-codes,,
S01514,Symptom,Vertigo,Clinical manifestation: vertigo,,,,R-codes,,
S01515,Symptom,Syncope,Clinical manifestation: syncope,,,,R-codes,,
S01516,Symptom,Polyuria,Clinical manifestation: polyuria,,,,R-codes,,
S01517,Symptom,Polydipsia,Clinical manifestation: polydipsia,,,,R-codes,,
S01518,Symptom,Chest Pain,Clinical manifestation: chest pain,,,,R-codes,,
